REGIÓN,PROVINCIA,DISTRITO,NOMBRE DEL RECURSO,SUB TIPO CATEGORÍA,URL,LATITUD,LONGITUD
Cusco,Cusco,CUSCO,Festividad Del Señor De Los Temblores,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11,-719.801,-135.153
Cajamarca,Contumaza,YONAN,Petroglifos De Yonan,Petroglifos (Grabados en piedra),https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=16,-79.130.786,-7.253.107.858
Amazonas,Chachapoyas,LEVANTO,Sitio Arqueológico De Collacruz,Zonas arqueológicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=17,-7.790.701.354,-6.310.457.893
Huánuco,Lauricocha,QUEROPALCA,Nevado De Yerupajá De Queropalca,Nevado,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=24,-7.690.523.484,-1.026.842.393
Huánuco,Lauricocha,QUEROPALCA,Cordillera Huayhuash - Huánuco,Cordillera,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=25,-7.688.232.422,-1.021.221.925
Apurímac,Aymaraes,CARAYBAMBA,Andenerías De Caraybamba,Andenes,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=29,-7.314.607.571,-1.437.953.841
Apurímac,Cotabambas,CHALLHUAHUACHO,Sitio Arqueológico De Marcapuchungo,Zonas arqueológicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=30,-7.224.641.025,-1.411.860.216
Apurímac,Abancay,ABANCAY,Puente Colonial Pachachaca,Puentes,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=31,-7.293.724.537,-136.630.431
Apurímac,Abancay,CURAHUASI,Templo Santa Catalina De Curahuasi,Templo,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=32,-7.269.592.778,-13.542.775
Apurímac,Chincheros,COCHARCAS,Templo Colonial De Cocharcas,Templo,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=34,-7.373.803.403,-1.361.193.803
Apurímac,Aymaraes,CHALHUANCA,Baños Termales De Pincahuacho,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=36,-73.276.745,-14.283.773
